household_id,age_of_household_head,household_income,education_level,family_size,owns_house,urban_rural
H001,45,75000,Bachelor's,4,Yes,Suburban
H002,32,48000,High School,2,No,Urban
H003,67,112000,Master's,3,Yes,Rural
H004,25,30000,Less than High School,1,No,Urban
H005,58,95000,PhD,5,Yes,Suburban
H006,41,62000,Bachelor's,3,Yes,Suburban
H007,72,88000,High School,2,Yes,Rural
H008,35,55000,Bachelor's,4,No,Urban
H009,51,135000,Master's,5,Yes,Suburban
H010,28,40000,High School,1,No,Urban
H011,63,160000,PhD,2,Yes,Suburban
H012,49,70000,Bachelor's,6,Yes,Rural
H013,38,52000,High School,3,No,Urban
H014,55,105000,Master's,4,Yes,Suburban
H015,22,25000,Less than High School,1,No,Urban
H016,68,90000,Bachelor's,2,Yes,Rural
H017,44,65000,High School,5,No,Suburban
H018,31,42000,Bachelor's,2,No,Urban
H019,59,150000,PhD,3,Yes,Suburban
H020,47,78000,Master's,4,Yes,Rural
H021,34,50000,Bachelor's,1,No,Urban
H022,61,120000,High School,3,Yes,Suburban
H023,29,35000,Less than High School,2,No,Urban
H024,53,98000,Master's,6,Yes,Rural
H025,40,68000,Bachelor's,3,Yes,Suburban
H026,75,100000,PhD,2,Yes,Rural
H027,36,58000,High School,4,No,Urban
H028,50,85000,Bachelor's,5,Yes,Suburban
H029,27,33000,Less than High School,1,No,Urban
H030,66,130000,Master's,3,Yes,Rural
H031,42,72000,Bachelor's,4,Yes,Suburban
H032,30,46000,High School,2,No,Urban
H033,56,110000,PhD,5,Yes,Suburban
H034,24,28000,Less than High School,1,No,Urban
H035,70,92000,Bachelor's,2,Yes,Rural
H036,46,60000,High School,3,No,Suburban
H037,33,49000,Bachelor's,4,No,Urban
H038,65,140000,Master's,2,Yes,Rural
H039,48,76000,PhD,5,Yes,Suburban
H040,26,38000,High School,1,No,Urban
H041,54,115000,Bachelor's,3,Yes,Rural
H042,43,67000,Master's,6,Yes,Suburban
H043,37,54000,High School,4,No,Urban
H044,60,125000,PhD,3,Yes,Suburban
H045,21,20000,Less than High School,1,No,Urban
H046,73,80000,Bachelor's,2,Yes,Rural
H047,45,71000,Master's,5,Yes,Suburban
H048,39,57000,High School,3,No,Urban
H049,52,102000,Bachelor's,4,Yes,Rural
